| Town / city       | Known neighbourhoods (suburbs, townships and registered informal settlements)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     | Evidence                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          |
| ----------------- | ------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- | --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- |
| **Windhoek**      | Academia, Auasblick, Avis, Cimbebasia, Dorado Park, Eros, Goreangab, Groot Aub (incorporated), Brakwater, Hakahana, Hochland Park, Katutura, Khomasdal, Kleine Kuppe, Klein Windhoek, Lafrenz Industrial Area, Ludwigsdorf, Luxury Hill, Northern Industrial Area, Okuryangava, Olympia, Otjomuise, Pioneers Park, Prosperita, Rocky Crest, Southern Industrial Area, Suiderhof, Tauben Glen, Wanaheda, Windhoek Central, Windhoek North, Windhoek West and townships such as Babilon, Big Bend, Elisenheim, Eros Park, Freedom Land, Greenwell Matongo, Havana (and Havana North), Kilimanjaro, Maxuilili, Ombili, Oohambo Dha Nehale and Soweto | The Windhoek article lists numerous suburbs and townships, including Academia, Auasblick, Avis, Cimbebasia, Dorado Park, Eros, Goreangab, Katutura, Khomasdal, Kleine Kuppe, Klein Windhoek, Lafrenz Industrial Area, Ludwigsdorf, Luxury Hill, Northern Industrial Area, Olympia, Otjomuise, Pioneers Park, Prosperita, Rocky Crest, Southern Industrial Area, Suiderhof, Tauben Glen, Wanaheda, Windhoek Central, Windhoek North and Windhoek West, plus townships such as Babilon, Big Bend, Elisenheim, Freedom Land, Greenwell Matongo, Havana, Havana North, Kilimanjaro, Maxuilili, Ombili, Oohambo Dha Nehale and Soweto. |
| **Swakopmund**    | Town Centre, Vineta, Mile 4, Ocean View, Kramersdorf, Vogelstrand, Waterfront, Mondesa, Matutura, Industrial Area, Tamariskia, Democratic Resettlement Community (DRC)                                                                                                                                                                                                                                                                                                                                                                                                                                                                            | The Swakopmund article lists districts and suburbs—Town Centre, Vineta, Mile 4, Ocean View, Kramersdorf, Vogelstrand, Waterfront, Mondesa, Matutura, Industrial Area, Tamariskia and the Democratic Resettlement Community (DRC).                                                                                                                                                                                                                                                                                                                                                                                                 |
| **Walvis Bay**    | Afrodite Beach, Dolphin Beach, Fairways Estate, Hermes, Kuisebmond, Lagoon, Light Industrial, Long Beach, Meersig, Narraville, Walvis Bay Central                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 | A property listing site lists Walvis Bay areas such as Afrodite Beach, Dolphin Beach, Fairways Estate, Hermes, Kuisebmond, Lagoon, Light Industrial, Long Beach, Meersig, Narraville and Walvis Bay Central.                                                                                                                                                                                                                                                                                                                                                                                                                      |
| **Rehoboth**      | Blocks A–H (Rehoboth is divided into eight neighbourhoods labelled A through H); Block B has most public services; Block D contains wealthier residences; Block E was an impoverished, formerly segregated area; Blocks F–H are newer                                                                                                                                                                                                                                                                                                                                                                                                             | A local history site explains that Rehoboth is divided into eight neighbourhoods called Blocks A–H.  Block B holds most public services; Block D houses wealthier residents; Block E is the poorest and formerly designated for black residents; and Blocks F–H are newer developments.                                                                                                                                                                                                                                                                                                                                           |
| **Okahandja**     | Okahandja Central, Osona Village                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  | A property site lists “Okahandja Central” and “Osona Village” as the main areas of Okahandja.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     |
| **Otjiwarongo**   | Orwetoveni (suburb combining former Ovambo, Damara and Herero locations), Otjiwarongo Central                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     | A local history source notes that the town historically had Ovambo, Damara and Herero locations that together formed the suburb Orwetoveni.  A property site lists Otjiwarongo Central as a primary area.                                                                                                                                                                                                                                                                                                                                                                                                                         |
| **Tsumeb**        | Nomtsoub, Tsumeb Central                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          | A map source indicates that the town of Tsumeb is near the suburb Nomtsoub.  A property site lists “Tsumeb Central” as a recognised area.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         |
| **Rundu**         | Katutura (oldest houses), Tutungeni (western executive area), Safari (eastern part), Millennium Park, Queens Park, Kings Park, Rainbow (formal location), Kehemu (“Ghetto”), Kaisosi (often called “Cali”), Sauyemwa (“SA”), Ndama, Donkerhoek (becoming formal), Sauyemwa, Kehemu and other localities                                                                                                                                                                                                                                                                                                                                           | The Rundu article’s “Localities” section lists neighbourhoods: Katutura area (oldest houses), Tutungeni (western part), Safari (eastern area), Millennium Park, Queens Park, Kings Park, Rainbow (formal), Kehemu (called “Ghetto”), Kaisosi (“Cali”), Sauyemwa (“SA”), Ndama and Donkerhoek (informal settlement becoming formal).  The Rundu Urban constituency article confirms that Sauyemwa, Safari, Tutungeni, Katutura, Donkerhoek and Kehemu are included in the constituency.                                                                                                                                            |
| **Oshakati**      | Oshakati West, Oshakati East, Uupindi North, Uupindi South, Ompumbu, Oshoopala, Ehenye, Oneshila, Ekuku (relocation village)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      | Mapping pages describe Oshakati West as a suburb near Uupindi North and Uupindi South, and Uupindi North as a neighbourhood with localities including Ompumbu and Oshoopala.  Ompumbu is a suburb near Oshoopala and Uupindi North, while Oshoopala is a suburb near Ehenye and Ompumbu.  Ehenye is a suburb near Oshakati and Oshoopala, and Oneshila is a residential area in Oshakati East.  The Ekuku article mentions that it is a village 3 km north of Oshakati used to relocate people from informal settlements.                                                                                                         |
